<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAV,MV,D,20210811,000000,603.53,603.53,603.53,603.53,0,0
CAV,MV,D,20210812,000000,609.01,609.01,602.54,607.52,0,0
CAV,MV,D,20210813,000000,606.27,607.52,597.56,602.54,0,0
CAV,MV,D,20210816,000000,605.03,605.03,597.56,598.8,0,0
CAV,MV,D,20210817,000000,597.56,600.05,593.82,600.05,0,0
CAV,MV,D,20210818,000000,602.54,603.78,597.56,600.05,0,0
CAV,MV,D,20210819,000000,600.05,601.29,597.56,600.05,0,0
CAV,MV,D,20210820,000000,600.05,602.66,600.05,602.54,0,0
CAV,MV,D,20210823,000000,601.29,605.03,597.56,597.56,0,0
CAV,MV,D,20210824,000000,597.56,600.05,597.56,597.56,0,0
CAV,MV,D,20210825,000000,598.8,602.54,597.56,597.56,0,0
CAV,MV,D,20210826,000000,602.54,605.03,600.05,605.03,0,0
CAV,MV,D,20210827,000000,606.27,606.27,601.29,606.27,0,0
CAV,MV,D,20210830,000000,608.76,608.76,601.29,601.29,0,0
CAV,MV,D,20210831,000000,601.29,612.99,601.29,612.25,0,0
CAV,MV,D,20210901,000000,612.25,614.74,603.78,603.78,0,0
CAV,MV,D,20210902,000000,603.78,608.76,598.8,608.76,0,0
CAV,MV,D,20210903,000000,601.29,608.76,601.29,601.29,0,0
CAV,MV,D,20210906,000000,608.51,611.25,608.51,611.25,0,0
CAV,MV,D,20210907,000000,611,617.23,610.01,617.23,0,0
CAV,MV,D,20210908,000000,614.99,622.21,610.01,622.21,0,0
CAV,MV,D,20210909,000000,622.21,622.45,613.74,622.45,0,0
CAV,MV,D,20210910,000000,621.21,622.45,603.53,614.99,0,0
CAV,MV,D,20210913,000000,611,612.5,607.52,612.5,0,0
CAV,MV,D,20210914,000000,611.25,611.25,600.05,600.3,0,0
CAV,MV,D,20210915,000000,600.54,610.01,600.17,600.17,0,0
CAV,MV,D,20210916,000000,600.17,602.54,597.56,597.56,0,0
CAV,MV,D,20210917,000000,607.52,607.52,597.56,607.39,0,0
CAV,MV,D,20210920,000000,597.56,604.78,586.35,602.16,0,0
CAV,MV,D,20210921,000000,586.6,602.04,586.6,594.82,0,0
CAV,MV,D,20210922,000000,587.6,597.56,587.6,590.09,0,0
CAV,MV,D,20210923,000000,596.56,597.81,596.56,597.81,0,0
CAV,MV,D,20210924,000000,597.56,603.78,590.09,597.56,0,0
CAV,MV,D,20210927,000000,588.84,603.53,588.84,603.53,0,0
CAV,MV,D,20210928,000000,588.84,603.53,588.84,603.53,0,0
CAV,MV,D,20210929,000000,586.35,602.54,586.35,602.54,0,0
CAV,MV,D,20210930,000000,590.09,601.29,587.6,597.56,0,0
CAV,MV,D,20211001,000000,593.82,593.82,587.6,587.6,0,0
CAV,MV,D,20211004,000000,587.6,597.56,585.11,588.84,0,0
CAV,MV,D,20211005,000000,590.09,590.09,585.11,585.11,0,0
CAV,MV,D,20211006,000000,585.11,585.11,575.15,585.11,0,0
CAV,MV,D,20211007,000000,583.86,597.56,575.15,597.56,0,0
CAV,MV,D,20211008,000000,572.66,602.54,572.66,602.54,0,0
CAV,MV,D,20211011,000000,603.66,605.03,588.84,600.05,0,0
CAV,MV,D,20211012,000000,602.54,614.99,597.56,614.99,0,0
CAV,MV,D,20211013,000000,617.48,636.15,616.23,622.45,0,0
CAV,MV,D,20211014,000000,627.19,627.19,613.74,624.94,0,0
CAV,MV,D,20211015,000000,622.45,626.69,612.5,621.21,0,0
CAV,MV,D,20211018,000000,621.21,622.45,611.25,622.45,0,0
CAV,MV,D,20211019,000000,617.48,617.48,602.54,602.54,0,0
CAV,MV,D,20211020,000000,602.79,621.21,602.79,619.97,0,0
CAV,MV,D,20211021,000000,619.97,619.97,602.54,602.54,0,0
CAV,MV,D,20211022,000000,600.05,612.5,597.56,607.52,0,0
CAV,MV,D,20211025,000000,607.52,608.76,597.56,597.56,0,0
CAV,MV,D,20211026,000000,600.3,622.45,600.3,614.99,0,0
CAV,MV,D,20211027,000000,615.23,615.23,614.99,614.99,0,0
CAV,MV,D,20211028,000000,615.23,617.48,615.23,617.48,0,0
CAV,MV,D,20211029,000000,605.28,624.94,605.28,622.45,0,0
CAV,MV,D,20211102,000000,624.94,626.19,610.5,625.69,0,0
CAV,MV,D,20211103,000000,610.5,624.82,610.5,623.7,0,0
CAV,MV,D,20211104,000000,612,623.45,612,622.45,0,0
CAV,MV,D,20211105,000000,622.33,623.2,622.33,622.45,0,0
CAV,MV,D,20211108,000000,622.45,622.45,613.49,622.45,0,0
CAV,MV,D,20211109,000000,614.99,622.33,614.99,616.23,0,0
CAV,MV,D,20211110,000000,622.95,622.95,616.23,619.97,0,0
CAV,MV,D,20211112,000000,611.5,611.5,611.5,611.5,0,0
CAV,MV,D,20211115,000000,617.48,617.48,611.5,611.5,0,0
CAV,MV,D,20211116,000000,622.45,622.45,607.64,617.48,0,0
CAV,MV,D,20211117,000000,617.48,617.48,607.52,617.35,0,0
CAV,MV,D,20211118,000000,617.1,617.48,607.52,613.99,0,0
CAV,MV,D,20211119,000000,612.5,612.5,586.1,610.01,0,0
CAV,MV,D,20211122,000000,597.56,597.56,586.35,596.56,0,0
CAV,MV,D,20211123,000000,587.6,595.07,587.6,595.07,0,0
CAV,MV,D,20211124,000000,582.62,592.33,581.37,592.33,0,0
CAV,MV,D,20211125,000000,592.33,592.33,553.24,582.62,0,0
CAV,MV,D,20211126,000000,562.7,600.05,547.76,600.05,0,0
CAV,MV,D,20211129,000000,565.19,617.48,565.19,617.48,0,0
CAV,MV,D,20211130,000000,617.48,617.48,572.66,603.78,0,0
CAV,MV,D,20211201,000000,602.04,617.48,579.38,617.48,0,0
CAV,MV,D,20211202,000000,587.22,617.23,580.38,605.03,0,0
CAV,MV,D,20211203,000000,603.78,603.78,603.53,603.53,0,0
CAV,MV,D,20211206,000000,603.03,603.03,567.68,573.28,0,0
CAV,MV,D,20211207,000000,589.96,589.96,589.22,589.22,0,0
CAV,MV,D,20211208,000000,573.03,582.62,572.66,582.49,0,0
CAV,MV,D,20211209,000000,580,580,562.7,576.77,0,0
CAV,MV,D,20211210,000000,565.19,576.14,565.19,575.15,0,0
CAV,MV,D,20211213,000000,565.19,575.15,565.19,575.15,0,0
CAV,MV,D,20211214,000000,575.15,575.15,556.85,571.91,0,0
CAV,MV,D,20211215,000000,566.43,566.43,547.76,559.46,0,0
CAV,MV,D,20211216,000000,535.44,552.74,535.31,537.8,0,0
CAV,MV,D,20211217,000000,537.8,550.25,535.56,547.26,0,0
CAV,MV,D,20211220,000000,547.76,547.76,536.93,536.93,0,0
CAV,MV,D,20211221,000000,537.93,547.76,537.8,547.76,0,0
CAV,MV,D,20211222,000000,547.76,572.66,547.76,565.19,0,0
CAV,MV,D,20211223,000000,565.19,585.11,565.19,572.66,0,0
CAV,MV,D,20211227,000000,547.88,565.19,536.06,536.06,0,0
CAV,MV,D,20211228,000000,536.06,554.73,536.06,536.56,0,0
CAV,MV,D,20211229,000000,557.22,557.22,554.73,554.73,0,0
CAV,MV,D,20211230,000000,554.23,554.23,552.24,552.24,0,0
CAV,MV,D,20220103,000000,536.68,552.24,536.68,550,0,0
CAV,MV,D,20220104,000000,566.68,566.68,566.68,566.68,0,0
CAV,MV,D,20220107,000000,539.79,560.21,539.79,559.71,0,0
CAV,MV,D,20220110,000000,562.7,562.7,541.66,541.66,0,0
CAV,MV,D,20220111,000000,559.59,559.59,541.54,552.74,0,0
CAV,MV,D,20220112,000000,552.37,552.37,551.5,551.5,0,0
CAV,MV,D,20220113,000000,551.74,552.74,551.74,552.74,0,0
CAV,MV,D,20220114,000000,541.66,622.45,541.66,612.5,0,0
CAV,MV,D,20220117,000000,593.57,607.39,593.57,602.54,0,0
CAV,MV,D,20220118,000000,593.57,618.97,593.57,618.97,0,0
CAV,MV,D,20220119,000000,596.31,602.29,590.09,602.29,0,0
CAV,MV,D,20220120,000000,602.29,602.29,602.29,602.29,0,0
CAV,MV,D,20220121,000000,597.81,597.81,585.11,585.11,0,0
CAV,MV,D,20220124,000000,597.06,612.5,549.13,597.56,0,0
CAV,MV,D,20220125,000000,592.58,622.45,592.58,602.66,0,0
CAV,MV,D,20220126,000000,622.21,630.57,614.99,630.57,0,0
CAV,MV,D,20220127,000000,634.63,634.63,612.77,627.26,0,0
CAV,MV,D,20220128,000000,628.02,632.85,611.5,632.85,0,0
CAV,MV,D,20220131,000000,633.11,640.48,625.48,640.48,0,0
CAV,MV,D,20220202,000000,627.51,635.65,627.51,635.4,0,0
CAV,MV,D,20220203,000000,613.02,636.92,613.02,636.92,0,0
